"","logFC","logCPM","PValue","FDR"
"YDR044W",-1.15560574015687,7.48556033205075,1.19751014060601e-71,4.45639465532438e-70
"YMR189W",-1.71013460538167,6.36946113151835,1.33715318958828e-71,4.94495963924616e-70
"YMR056C",2.38382846456011,6.21221608467789,4.33736358095074e-71,1.59404846636556e-69
"YPL231W",-0.403650969878178,10.8372103818817,3.04867595935676e-70,1.11351948466135e-68
"YIL117C",1.37979879338469,7.57648616983906,4.5009454959147e-69,1.63387082817959e-67
"YBR048W",-0.496221570173615,9.91399331269691,6.72830309514134e-69,2.42752252524093e-67
"YDR516C",-0.561623458098219,10.0388482171613,7.43459098411032e-69,2.66608938502914e-67
"YDR452W",0.973342641460333,8.21144726440663,2.15273135743311e-68,7.673320145742e-67
"YGL062W",0.99350543289748,8.25716666286361,2.88693919680472e-68,1.02287540284392e-66
"YGR027C",0.484724426398172,10.3592423596865,3.41059324616588e-68,1.20121906175973e-66
"YNL134C",-1.1726351791359,7.32333722242682,6.45252342535651e-68,2.25914681111447e-66
"YBL085W",1.15971108424505,7.72413273049735,1.22735074254179e-66,4.27190255507047e-65
"YER053C",-1.16814135157077,7.31173539942448,2.43636688451451e-66,8.43039933080254e-65
"YLR155C",0.979012334534742,8.04581149920718,3.61309814416001e-66,1.23174198920122e-64
"YLR157C",0.979012326679236,8.04581149920718,3.61987045251414e-66,1.23174198920122e-64
"YLR158C",0.979012324028731,8.04581149920718,3.62215829171899e-66,1.23174198920122e-64
"YLR160C",0.978431626657183,8.04539160163629,4.50049014512045e-66,1.52168001078158e-64
"YNL217W",-1.36559348047491,7.12837343681122,1.54253642520222e-65,5.18590228859177e-64
"YHR026W",0.862188364950282,8.33401785641528,1.5178007104106e-64,5.07391344830481e-63
"YOR227W",1.10974610984188,7.71754158441163,2.10470538461612e-63,6.96885199108459e-62
"YHR094C",0.948767121253376,8.15108009364723,2.10820433734011e-63,6.96885199108459e-62
"YKL141W",1.31640955910472,7.29131791649327,3.99194490043094e-63,1.31224099865833e-61
"YDR111C",1.64844505569235,6.93078512841742,4.81227511487944e-63,1.57316198092495e-61
"YEL034W",-0.44555217875473,10.0202417752074,8.0419809655752e-63,2.61452754798398e-61
"YBR230C",1.12224892136371,7.74935262209814,1.03559843796655e-61,3.34843494942517e-60
"YGR282C",0.518701531869979,10.2985234615688,1.78314558297517e-61,5.73416979046962e-60
"YGL035C",1.09443482169817,8.02995899809271,8.06538978165286e-61,2.57961682908324e-59
"YDR216W",1.63645561918453,6.94996770303614,1.78405883213655e-60,5.6754172633075e-59
"YHL020C",1.12818650084203,7.61066325281138,2.2395208925211e-60,7.08622733745849e-59
"YAL053W",0.710083831517063,9.07014492460668,7.9418915583488e-60,2.49958363567818e-58
"YLR109W",0.320580638107618,11.7639504604841,7.36203815035673e-58,2.30482432463814e-56
"YMR116C",-0.281799655047146,11.3969838756821,2.06674784568986e-57,6.43628789628784e-56
"YLR249W",-0.252398281671193,11.5979826323109,8.09715775917697e-57,2.50842316550001e-55
"YER150W",-1.57485960558584,6.71185929922222,3.10737694965457e-56,9.57622365161774e-55
"YDR074W",-0.559063746047206,9.2825158852961,3.67830456525829e-55,1.12769575713126e-53
"YKL117W",0.501912311479126,9.55211225685996,1.70379336972579e-53,5.19656977766366e-52
"YLR438W",-1.94906027664876,6.1085034321835,2.38367316178326e-53,7.23292005039567e-52
"YDR277C",-1.21296649393014,7.03763366339279,5.92278366582995e-53,1.78801586483244e-51
"YGR244C",0.734271206829414,8.47475936840442,9.99509321673841e-53,3.00207952098686e-51
"YDL137W",0.713768447455828,8.65972039067764,1.79241016535862e-52,5.35640956991262e-51
"YER138C",-2.61669884020504,9.68219746307477,2.31049652333705e-52,6.86995373295746e-51
"YMR251W-A",-0.798555596325946,8.27311316940957,2.6290132251487e-52,7.77793562660242e-51
"YHR143W",-0.69150197908918,8.69606663948973,1.22887010759503e-51,3.61752459036804e-50
"YLR264W",-1.4293211431512,6.86352634819096,1.2784330509189e-51,3.74479621895402e-50
"YDR011W",-0.913249949400906,7.67600269545625,1.82977020733765e-51,5.33337454030388e-50
"YBR298C",1.02711663670514,7.60284503958219,5.62240830627811e-51,1.63077401707096e-49
"YJL077C",2.16366138757874,5.8420394107295,2.60725444318272e-50,7.52542660503031e-49
"YLR192C",0.692942692716929,8.56511791996513,3.5576037151807e-50,1.02186122246234e-48
"YPL232W",0.918935946266893,8.20933504033886,5.02271124217339e-50,1.43571895748502e-48
"YDR343C",-1.60389224672632,8.90337061522749,5.11683338404938e-50,1.45559149679905e-48
"YGR159C",-0.690243933197951,8.82102885011168,5.59781216047563e-50,1.58479686859016e-48
"YBR218C",-0.657935898106861,8.73847288267844,1.50766500002428e-49,4.24802562149699e-48
"YKL109W",-1.2040267811698,7.05674165205926,2.28669783579156e-49,6.41250762766762e-48
"YDR233C",0.673630011924566,8.62482944269991,4.08646282730855e-49,1.14054719571626e-47
"YNL327W",-0.778426343470102,8.16860166144636,9.24585149203304e-48,2.5684367736319e-46
"YDL055C",-0.331141778743445,10.4969168830781,1.27516523499625e-47,3.52577228760412e-46
"YLR256W",-0.691211305581449,8.99478577906665,1.85275303597163e-47,5.09894870411355e-46
